title,location,minimum_qual,preferred_qual,responsibilities
"Manager, Software Engineering - AI Infra (Menlo Park)","Menlo Park, CA","5+ years of software engineering work experience, including hands-on technical management
5+ years coding in one of the following languages: C++, Java, and/or PHP
Experience recruiting and managing technical teams, including performance management
BA/BS in Computer Science (In lieu of degree, 4+ years work experience)",,"Be both a highly technical, hands-on coder and effective people manager
Communicate cross-functionally and drive engineering efforts
Hold your own in technical discussion, be a subject matter expert, and have strategic influence"
"Manager, Software Engineering - Core App Monetization","Seattle, WA","5+ years of software engineering work experience, including hands-on technical management
5+ years coding experience in one of the following languages: C++, Java, and/or PHP
Experience recruiting and managing software engineering teams
BA/BS in Computer Science (In lieu of degree, 4+ years work experience)",,"Be both a highly technical, hands-on coder and effective people manager
Communicate cross-functionally and drive engineering efforts
Hold your own in technical discussion, be a subject matter expert, and have strategic influence"
"Manager, Software Engineering - Business Integrity (Ads)","Menlo Park, CA","5+ years of software engineering work experience, including hands-on technical management
5+ years experience coding in one of the following languages: C++, Java, Objective-C, and/or PHP
Demonstrated ability to recruit and manage technical teams, including performance management
BA/BS in Computer Science (In lieu of degree, 4+ years relevant work experience)","Experience with risk, fraud, payments, marketplace, and/or e-commerce technology.","Manage a team of full stack web/mobile application developers with a variety of languages including but not limited to Java, Objective-C, PHP, React, etc.
Be both a highly technical, hands-on coder and effective people manager
Communicate cross-functionally and drive growth-focused engineering efforts
Hold your own in technical discussion, be a subject matter expert, and have strategic influence"
"Instagram - Software Engineer, Infrastructure Menlo Park","Menlo Park, CA","6+ years coding experience in C, C++, Java and/or C#
2+ years coding experience in Perl, PHP, Hack or Python
2+ years experience building large-scale server applications","B.S. Computer Science or related technical field
Experience with operating system internals, filesystems, programming language design, compilers","Design core, backend software components
Code using primarily Python, C/C++, Java and Hack
Interface with other teams to incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources"
"System Software Engineer, Portal, University Grad","Menlo Park, CA","Bachelor’s degree in Computer Science, Computer Engineering or equivalent combination of education and experience.
Experience in kernel development for consumer electronics product.","2+ years of experience in Linux kernel.
JTAG debugging experience.
Experience with Android Frameworks and Applications.","Design, develop and test kernel sub-systems and device drivers.
Work closely with the System Engineering, Hardware, and QA teams in addition to our manufacturing partners.
Participate in design reviews and code reviews for the Software team.
Participate in reviews of block diagrams and schematics with the Hardware team."
Distributed Systems Software Engineer - Core Data,"Seattle, WA","B.S. degree in Computer Science or technical field.
4+ years experience in software development using C, C++, Java or other modern programming languages.
2+ years of experience with building storage systems such as file systems, key/value stores, block-based, file or objected-based storage solutions.","M.S./Ph.D degree in Computer Science or technical field
Develop long-term technical architectures
Track record of delivering systems to market","Understand application and business requirements to create storage service offerings to enable the company's massive growth and wide variety of business use cases.
Design next generation storage solutions based on commodity hardware and a mix of open source and proprietary software to deliver storage solutions that easily reach Exabyte scale.
Develop tooling and automation to enable self-service consumption and moving fast with operations at scale."
"Technical Sourcer, Software Engineering","San Francisco, CA","3+ years technical sourcing experience with a search firm or in-house recruiting team.
Experience presenting our technology/industry.
Experience screening resumes to identify fit.
Research/sourcing experience with experience diving into searches for requisitions.
Candidate engagement approach with experience activating candidates.
Interview experience with experience screening for both technical and cultural qualities.
Tech and industry knowledge with experience understanding tech skills, target companies, conferences, open source communities.
Interpersonal and communication experience.",Software Engineering sourcing experience,"Work closely with Recruiters and Hiring Managers to deeply understand technical requirements of the role, the function and how it fits into the organization.
Team with Coordinators and Recruiters to manage an efficient model of operation.
Strategize different ways to build talent pipelines and execute on tactical research, referral generation, events and sourcing campaigns.
Find, engage and activate passive candidates through the use of Boolean, LinkedIn and alternative search techniques.
Screen resumes and interview candidates to determine fit.
Regularly track pipeline activity to share with internal stakeholders.
Recommend and drive improvements that impact local pipeline areas.
Embody Facebook’s culture: Be Bold, Move Fast and Focus on Impact."
"Software Engineer, Data Flow (Menlo Park)","Menlo Park, CA","6+ years of coding experience in Java, C++ or C#.
2+ years of coding experience in Python, PHP/Hack or JavaScript.
2+ years of experience building on or managing data platforms, data infrastructure, metrics or pipeline management.","B.S in Computer Science or related technical field.
Experience working directly with data engineer or data scientist teams.
Experience implementing or supporting data pipelines, in batch/streaming/ML systems (e.g. Spark, Flink, Hive, Presto, Kafka, Storm, Beam, Hadoop MapReduce).","Design backend and frontend software components, and tools.
Code using primarily Python, Java, PHP/Hack, React.
Interface with other teams to collaborate in transforming the landscape.
Conduct design and code reviews.
Analyze and improve efficiency, scalability, and stability of various system resources.
Design, architect and implement a data flow platform for efficient data processing and machine learning."
"Manager, Software Engineering - Messenger, Click To Messenger Ads","Menlo Park, CA","5+ years of software engineering work experience, including hands-on technical management
Experience recruiting and managing technical teams, including performance management
BA/BS in Computer Science (In lieu of degree, 4+ years work experience)","Experience with iOS and/or Android technology
Experience in Ads or Business-orientated software","Manage a team of full stack web/mobile application developers with a variety of languages including but not limited to Java, Objective-C, PHP, React, etc.
Be both a highly technical and effective people manager
Communicate cross-functionally and drive growth-focused engineering efforts
Hold your own in technical discussion, be a subject matter expert, and have strategic influence"
"Software Engineer Intern, Computer Vision (Masters/PhD University Student)","Zurich, Switzerland","Demonstrated software engineer experience via an internship, work experience, coding competitions, open source contributions, or research",,"Pursuing a Masters or PhD in the field of computer vision or related area
Must be currently enrolled in a full time degree program and returning to the program after the completion of the internship
2+ years experience with systems building in C++
Knowledge in computer vision, structure from motion, optimization, 3D reconstruction, machine learning, image processing, computational geometry, robotics, SLAM, tracking, or sensor fusion
Excellent interpersonal skills, cross-group and cross-culture collaboration
High levels of creativity and quick problem solving capabilities
Proven track record of achieving significant results
Able to obtain work authorization in Switzerland between January 1, 2019 and December 31, 2019."
"Software Engineer, PhD Intern/Co-op (Machine Learning)","Menlo Park, CA","Pursuing PhD in Computer Science, related STEM or quantitative field or relevant experience
Research experience in a relevant field, such as machine learning, NLP, recommendation systems, pattern recognition, signal processing, data mining, artificial intelligence, or computer vision
Experience in systems software or algorithms
Experience in C/C++, Java, Perl, or PHP
Experience in scripting languages such as Perl, PHP, Python, and shell scripts
Experience with Hadoop/Hbase/Pig or Mapreduce/Sawzall/Bigtable is a plus
Experience with cross-group and cross-culture collaboration
High levels of creativity and quick problem solving capabilities
Proven track record of achieving significant results
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
Must be currently enrolled in a full-time degree program and returning to the program after the completion of the internship/co-op","Demonstrated software engineer experience via an internship, work experience, coding competitions, or PhD papers","Develop highly scalable classifiers and tools leveraging machine learning, regression, and rules-based models
Suggest, collect and synthesize requirements and create effective feature roadmap
Code deliverables in tandem with the engineering team
Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
Perform specific responsibilities which vary by team"
"Software Engineer, Web Performance","New York, NY","Bachelor's or Master's degree in Computer Science, Electronics, Electrical, or related field
5+ years of industry experience shipping production software
Knowledge of systems architecture and performance trade-offs
Experience in any of C/C++, Java, JavaScript, C# programming languages","Experience with performance tuning at scale
Experience working on browser internals","Analyze and optimize server (Hack/PHP) and client (JavaScript) code
Develop high-performance application frameworks
Build world-class telemetry infrastructure
Automate performance measurement and analysis
Own high-visibility performance metrics
Optimize CPU, RAM and network usage for our resource-intensive website
Mentor engineers on performance best practices
Work with browser vendors and on W3C standards"
Software Engineer (AI),"Paris, France","Experience in developing and debugging in C/C++ and/or Python.
Ability to obtain and maintain work authorization in the country of employment in 2018.","B.S. or M.S. degree in Computer Science or related quantitative field.
Experience building systems based on machine learning (especially deep learning) methods.
Experience using frameworks like PyTorch, Caffe2, Tensorflow, Theano, Keras, and/or Chainer.
Experience with storage systems, distributed systems, HPC, compilers, and/or CUDA programming.
Research and software engineer experience demonstrated via an internship, contributions to open source, work experience, or coding competitions.","Develop highly scalable algorithms based on state-of-the-art machine learning and neural network methodologies.
Collaborate with Facebook AI Research (FAIR) Scientists to facilitate research that enables learning the semantics of data (images, video, text, audio, and other modalities).
Apply knowledge of relevant research domains along with expert coding skills to platform and framework development projects.
Adapt machine learning and neural network algorithms and architectures to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)."
"Software Engineer, Ads Ranking","Seattle, WA","Experience in ads or neural networks, recommender systems, or large scaled machine learning systems preferred.
MS in Computer Science or related technical field with 5+ years of applied ranking or machine learning experience, or PhD in Computer Science or related technical field
Strong background in Machine Learning
Programming experience in C, C++, Java or Python
Experience with Information Retrieval, Ranking Systems, Recommendation Systems or Artificial Intelligence
Knowledge of map-reduce/Hadoop a plus
Knowledge of distributed systems a plus
Passion for working on hard scoring problems",,"The candidates will work on machine learning innovations to help make better predictions of ads on Facebook and Instagram.
Areas of projects include multitask learning, image/text recognition, user/ad modeling, conversion modeling, and modeling new optimization objectives."
"Software Engineer, Compiler","Menlo Park, CA","B.S. Computer Science or related technical field
1+ years experience working on and contributing to an active compiler toolchain codebase, such as LLVM, GCC, MSVC
Interest in the Compiler field","M.S. or Ph.D. training in compiler engineering or related fields
4+ years relevant coding experience in C or C++","Analyze and design effective compiler optimizations
Implement and/or enhance code generation targeting mobile or server platforms
Code using primarily C++
Interface with other compiler-focused teams to evaluate and incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of our toolchains"
Embedded Software Intern,"Redmond, WA","Pursuing a degree in Computer Science or Electrical Engineering
Must be currently enrolled in a full-time degree program and returning to the program after the completion of internship
Experience coding in C/C++, Python and basic understanding of hardware/EE","Experience with lab instrumentation like oscilloscope, logic/protocol analyzers for debugging embedded systems at HW level
Hands-on coding experience with peripherals such as UART, SPI, CSI-2, i2c, GPIO, USB","Embedded system firmware development for platforms under development for AR\VR products
Debug hardware design using bench top tools
Build test infrastructure and tests in Python"
"Software Engineer, Dash (Oculus)","Menlo Park, CA","Game engine architecture experience
Experience with 3D
Experience with React or React Native",,"3+ years experience programming with JavaScript or other web-based language.
3+ years experience shipping consumer facing products.
2+ years experience programming with C++."
Instagram - Software Engineer: Android,"Menlo Park, CA","B.S. or M.S. Computer Science or 4+ years in software development experience
2+ years of object-oriented software development experience
2+ years building Android applications in Java using Android SDK
2+ years mobile application development experience (Android, J2ME or Blackberry)
Experience in understanding code bases, including API design techniques
Experience in the following technologies:
Experience with Java language and related frameworks
Experience with Multi-Threading and memory management specific to mobile devices
Experience with caching mechanisms",,"Work closely with our product and design teams to customize the Instagram experience for the Android platform
Prototype new and redesign features
A focus on UI design principles and making apps work intuitively
Contribute best-in-class programming skills to develop highly innovative, consumer-facing mobile products"
"Software Engineer, GHC","London, United Kingdom","BS/MS in Computer Science or equivalent experience
1+ years experience working on and contributing to an active compiler toolchain codebase, such as GHC, LLVM, GCC, MSVC
Knowledge of Haskell, C/C++
Interest in compilers, managed runtimes and code-generation","M.S. or Ph.D. training in compiler engineering or related fields
2+ years experience working on and contributing to an active compiler or runtime
Expert-level Haskell
Experience working with large scale distributed systems","Analyse and design effective compiler optimisations
Implement and/or enhance code generation targeting different platforms
Code using primarily Haskell
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of our toolchains"
"Instagram Software Engineer, Android","New York, NY","B.S. or M.S. Computer Science or 4+ years in software development experience
2+ years of object-oriented software development experience
2+ years building Android applications in Java using Android SDK
2+ years mobile application development experience (Android, J2ME or Blackberry)
Experience in understanding code bases, including API design techniques
Experience in the following technologies:
Experience with Java language and related frameworks
Experience with Multi-Threading and memory management specific to mobile devices
Experience with caching mechanisms",,"Work closely with our product and design teams to customize the Instagram experience for the Android platform
Prototype new and redesign features
A focus on UI design principles and making apps work intuitively
Contribute best-in-class programming skills to develop highly innovative, consumer-facing mobile products"
"Software Engineer, PhD Intern/Co-op (Machine Learning) (London 2019)","London, United Kingdom","Pursuing PhD in Computer Science, related STEM or quantitative field or relevant experience
Must be currently enrolled in a full time degree program and returning to the program after the completion of the internship
Research experience in a relevant field, such as machine learning, NLP, recommendation systems, pattern recognition, signal processing, data mining, artificial intelligence, or computer vision
Experience in systems software or algorithms
Experience in C/C++, Java, Perl, or PHP
Experience in scripting languages such as Perl, PHP, Python, and shell scripts
Experience with Hadoop/Hbase/Pig or Mapreduce/Sawzall/Bigtable is a plus
Excellent interpersonal skills, cross-group and cross-culture collaboration
High levels of creativity and quick problem solving capabilities
Proven track record of achieving significant results
Ability to obtain work authorization in the United Kingdom in 2019","Demonstrated software engineer experience via an internship, work experience, coding competitions, or used contributions in open source repositories (e.g. GitHub)
Proven track record of achieving results as demonstrated by grants, fellowships, patents, as well as first-authored publications at workshops or conferences such as ICML, NIPS, KDD or similar","Develop highly scalable classifiers and tools leveraging machine learning, regression, and rules-based models
Suggest, collect and synthesize requirements and create effective feature roadmap
Code deliverables in tandem with the engineering team
Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
Perform specific responsibilities which vary by team"
"Software Engineer, Engine Integrations","Menlo Park, CA","Bachelor's degree in Computer Science, Mathematics or related field
3+ years experience in core game engine development
5+ years experience with C/C++ programming on low-level systems
3D math and 3D graphics with OpenGL, DirectX or Vulkan experience","Knowledge of Android development, especially in graphics and performance
Experience with CPU and GPU optimization
Virtual Reality experience
Communication experience","Help deliver an exceptional virtual reality experience by improving performance and quality of our SDK
Write both game engine and script level code to enable VR and deliver features from the native SDKs
Work within the rendering pipeline to optimize performance and quality
Build powerful authoring, debugging and profiling tools for development partners"
"Software Engineer, Front End","Tel Aviv, Israel","5+ years of JavaScript experience, including concepts like asynchronous programming, closures, types, and ES6
3+ years of HTML/CSS experience, including concepts like layout, specificity, cross browser compatibility, and accessibility
3+ years experience with browser APIs and optimizing front end performance Please submit an English version of your CV","Experience with React
BS/MS in Computer Science or a related technical field","Implement the features and user interfaces of Facebook products like News Feed
Architect efficient and reusable front-end systems that drive complex web applications
Collaborate with Product Designers, Product Managers, and Software Engineers to deliver compelling user-facing products
Identify and resolve performance and scalability issues"
"Software Engineer, Mobile","Tel Aviv, Israel","5+ years of previous work experience, or B.Sc. or M.Sc. in Computer Science or related field
2+ years of industry mobile application development experience
3+ years of object-oriented software development experience
Experience with DBs - SQL/NoSQL - advantage
Please submit an English version of your CV",,"Contribute best-in-class programming skills to develop highly innovative, consumer-facing mobile products
Shipping features end-to-end, from UI to backend
Work closely with our product and design teams to customize the user experience
Prototype new and redesign features"
"Manager, Software Engineering","London, United Kingdom","Proven hands-on technical management.
Exceptional coding skills in one of the following: C++, Java, Javascript, or PHP.
Demonstrated ability to manage technical teams.
BS / MS in Computer Science (In lieu of degree, relevant work experience).",,"Be both highly technical, hands-on coder and an effective people manager
Communicate across functions and drive engineering initiatives
Participate in technical design
Be a subject matter expert in a product domain
Define and influence product strategy"
"Software Engineer, AR/VR","London, United Kingdom","Experience with interactive 3D graphics development
Experience with real-time networked application development
Experience with Unity
Experience programming on low-level systems
Experience with CPU and GPU optimisation",,"At least bachelor degree in computer science or similar discipline
Experience with C/C++ or C# development"
"Director, Software Engineering - Portal Systems and Core Experiences","Menlo Park, CA","10+ years of software engineering work experience, including 5+ years of hands-on technical management.
Experience in one or more of the following domains: Android Frameworks, Middleware, User Interface and Mobile Application development.
Experience building and leading a software organization through product design, delivery and commercialization of consumer electronics devices.
Experience recruiting and managing technical teams, including performance management.
BS/MS in Computer Science.
Experience in leading timelines, multi-partner initiatives.
Organizational communication and coordination experience.",,"Lead Framework, Middleware and Core Application engineering teams committed to building the next generation of social hardware products, applications and platforms
Be both a technical leader and people manager
Communicate cross-functionally and drive engineering efforts
Partner closely with many Facebook internal partner teams to create shared roadmaps and deliver on the product vision
Champion engineering and operational excellence, establishing metrics and process for regular assessment and improvement
Establish project frameworks and development processes"
"Instagram - Manager, Software Engineering","New York, NY","8+ years of software engineering experience, including 5+ years of hands-on technical management
Prior experience in one of the following C++, Java, and/or Python
Demonstrated domain experience in spam detection, pattern recognition, authentication systems and data analytics
Demonstrated ability to recruit and manage technical teams, including performance management
BA/BS in Computer Science (In lieu of degree, 4+ years relevant work)",,"Provide technical and organizational leadership over the community engineering team
Communicate cross-functionally and drive engineering efforts
Hold your own in technical discussion, be a subject matter expert, and have strategic influence."
"Software Engineer, GraphQL","London, United Kingdom","Extensive knowledge of object-oriented software development
Mobile application development experience
C++ or Java","Knowledge of multi-threading and memory management specific to mobile devices and caching mechanisms
Experience building complex applications for the iPhone or iPad using Objective-C / C++ with Cocoa and other frameworks
Experience of building Android applications in Java using Android SDK","We look for expertise in building or understanding end-to-end systems, from mobile UI down to mobile infrastructure all the way to backend infrastructure. Experience rolling out new frameworks & APIs across large codebases will be very useful too."
"Manager, Software Engineering - Infrastructure","London, United Kingdom","Proven hands-on technical management.
Exceptional coding skills in one of the following: C++, Java, Javascript, or PHP.
Demonstrated ability to manage technical teams.
BS / MS in Computer Science (In lieu of degree, relevant work experience).",,"Be both highly technical, hands-on coder and an effective people manager
Communicate across functions and drive engineering initiatives
Participate in technical design"
"Software Engineer, Compiler","Menlo Park, CA","B.S. Computer Science or related technical field
1+ years experience working on and contributing to compiler toolchain codebase, such as LLVM, GCC, MSVC
Knowledge in the Compiler field","M.S. or Ph.D. training in compiler engineering or related fields
4+ years relevant coding experience in C or C++","Analyze and design effective compiler optimizations
Implement and/or enhance code generation targeting mobile or server platforms
Code using primarily C++
Interface with other compiler-focused teams to evaluate and incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of our toolchains"
"Software Engineer, Compiler","Menlo Park, CA","B.S. Computer Science or related technical field
Knowledge in the Compiler field","M.S. or Ph.D. training in compiler engineering or related fields
4+ years coding experience in C or C++
1+ years experience working on and contributing to an active compiler toolchain codebase, such as LLVM, GCC, MSVC","Analyze and design effective compiler optimizations
Implement and/or enhance code generation targeting mobile or server platforms
Code using primarily C/C++
Interface with other compiler-focused teams to evaluate and incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of our toolchains"
"Software Engineer, iOS","Tel Aviv, Israel","2+ years of industry iOS development experience
3+ years of object-oriented software development experience
Holds B.Sc. or M.Sc. in Computer Science or related, or have 5+ years of previous work experience
Experience with low-level challenges, OS and network layer - big advantage
Please submit an English version of your CV",,"Build projects & features end-to-end with high level of ownership, from UI to backend
Work closely with other engineers, as well as product, analytics and design teams
Analyze and optimize UI and back-end application code for efficiency and performance
Solve deep challenges in the OS & network layers"
"Software Developer, GSEI","Dublin, Ireland","Bachelor’s degree in Computer Science or related field (or equivalent degree and experience)
At least 4+ years of experience in software development
Programming abilities in one or more of the following languages: PHP, JavaScript
Demonstrated creative problem-solving approach and strong analytical skills
Experience working in an operational or support role is a plus",,"To ensure the stability and availability of the GSE Infra team's suite of support products.
To provide support for internal and external users of the GSEI team's suite of products including reproducing and fixing bugs as well as general support questions.
To build and maintain the GSE Infrastructure team's own support tooling.
Become an expert in our products, our internal operational tools and the needs of internal stakeholders by providing effective technical consultation
Solve challenging technical, operational and escalation issues through our tooling, delivering the highest level of stakeholder satisfaction
Help scale tooling solutions that are flexible and easily customizable when new products are shipped
Work directly with our operational teams to resolve technical issues
Deliver data-driven, impactful results
Build understanding about the wide variety of operational tools across the company at a deep engineering level"
"Software Engineer, Mobile Performance","Menlo Park, CA","Bachelor's or Master's degree in Computer Science, Electronics, Electrical, or related field
5+ years of industry experience shipping production software
Experience building client software for resource constrained devices
Understanding of systems architecture and performance trade-offs
Experience in any of C/C++, Objective C, Java, C# programming languages",Mobile experience,"Analyze and optimize mobile product and infrastructure code
Develop high-performance mobile frameworks
Build world-class telemetry infrastructure
Automate performance measurement and analysis
Own high-visibility performance metrics
Optimize CPU, memory, I/O, network and battery usage in our mobile applications
Mentor engineers on performance best practices"
"Director, Software Engineering","London, United Kingdom","Proven hands-on technical management.
Exceptional coding skills in one of the following: C++, Java, Javascript, or PHP.
Demonstrated ability to manage technical teams.
BS / MS in Computer Science (In lieu of degree, relevant work experience).",,"Be a highly technical, hands-on coder and an effective people manager
Communicate across functions and drive engineering initiatives
Participate in technical design
Be a subject matter expert in a product domain
Define and influence product strategy"
"Instagram - Software Engineer, iOS","New York, NY","Familiarity and understanding of Instagram
Minimum requirement of 2 years consistently working on iOS.
B.S. or M.S. degree in Computer Science or 3+ years working with iOS
Ability to collaborate across engineering and design teams
Ability to recognize and implement modern product design
Ability to write code",,"Re-imagine features and build new and innovative ideas
Go from idea to implementation
Collaborate with designers and engineers
Maintain high level performance quality"
"Software Engineer, Web Performance","Menlo Park, CA","Bachelor's or Master's degree in Computer Science, Electronics, Electrical, or related field
5+ years of industry experience shipping production software
Knowledge of systems architecture and performance trade-offs
Experience in any of C/C++, Java, JavaScript, C# programming languages","Experience with performance tuning at scale
Experience working on browser internals","Analyze and optimize server (Hack/PHP) and client (JavaScript) code
Develop high-performance application frameworks
Build world-class telemetry infrastructure
Automate performance measurement and analysis
Own high-visibility performance metrics
Optimize CPU, RAM and network usage for our resource-intensive website
Mentor engineers on performance best practices
Work with browser vendors and on W3C standards"
"Software Engineer, Programming Languages","Menlo Park, CA","6+ years relevant coding experience in OCaml, Haskell, F#, Java, C#, and / or C/C++
2+ years relevant experience building scalable languages, libraries, and tools
B.S. in Computer Science or related technical field","Experience with programming language design, program analysis, type systems, compilers, operating systems, file systems, and distributed systems
Relevant knowledge of PHP/Hack, JavaScript, Python, and / or related languages
M.S. or Ph.D. in Computer Science or related technical field","Envision, design, and implement language features, libraries, and tools to solve specific problems with broad impact, such as improving developer experience, enforcing code reliability, and enabling performance optimizations
Code using primarily OCaml, C/C++
Interface with other teams to incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of languages and tools"
"Manager, Software Engineer","Menlo Park, CA","5+ years’ experience managing an HPC, architecture or SW/HW co-design team
BS or MS in Computer Science, Engineering, or a related technical discipline or equivalent experience
Experience recruiting and managing technical teams, including performance management and managing engineers
Communication experience","PhD in Computer Science, Engineering, or a related technical discipline
Knowledge of computer architecture, ML and HPC background","Be a technical manager with deep experience in computer architecture and machine learning
Hold your own in technical discussions, be a subject matter expert, and have strategic influence
Work with ICs in the team to help define and drive regular development of an aggressive technical roadmap to meet the needs of the team, and partner teams
Operate in a rapidly evolving environment, adapting quickly to new challenges and re-prioritizing as needed
Be an effective people manager
Manage engineers and help them develop their careers, assigning them to projects tailored to their skill levels, long-term skill development, personalities, and work styles
Assess employee performance frequently, address under-performance, and recognize and promote excellent performance
Cross-functional Collaboration
Partner very closely with many SW and HW team at Facebook
Communicate cross-functionally and drive engineering efforts
Work closely with dedicated recruiting staff to expand the team, including sourcing candidates, interviewing candidates, participating in conferences/events, and onboarding new employees"
"Manager, Software Engineering -","London, United Kingdom","Proven hands-on technical management.
Exceptional coding skills in one of the following: C++, Java, Javascript, or PHP.
Demonstrated ability to manage technical teams.
BS / MS in Computer Science (In lieu of degree, relevant work experience).",,"Be both highly technical, hands-on coder and an effective people manager
Communicate across functions and drive engineering initiatives
Participate in technical design
Be a subject matter expert in a product domain
Define and influence product strategy"
"Software Engineer, Source Control","Menlo Park, CA","6+ years coding experience in C++ and Python
Experience with Rust
2+ years experience building highly-scalable distributed systems","B.S. Computer Science or related technical field
Experience with operating system internals, filesystems, and network programming","Advance the state-of-the-art of source control systems through better algorithms, improved wire protocols, and novel user experiences
Code using primarily Rust, Python, and C++ Interface with other teams to incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various systems"
"Software Engineer, Programming Languages","Menlo Park, CA","6+ years coding experience in OCaml, Haskell, F#, Java, C#, and/or C/C++
2+ years experience building scalable languages, libraries, and tools
B.S. in Computer Science or related technical field","Experience with programming language design, program analysis, type systems, compilers, operating systems, file systems, and distributed systems
Relevant knowledge of PHP/Hack, JavaScript, Python, and/or related languages
M.S. or Ph.D. in Computer Science or related technical field","Envision, design, and implement language features, libraries, and tools to solve specific problems with broad impact, such as improving developer experience, enforcing code reliability, and enabling performance optimizations
Code using primarily OCaml, C/C++
Interface with other teams to incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of languages and tools"
Software Engineer Graduate,"Tel Aviv, Israel","Bachelors or Masters in Computer Science or a related field
Graduating with a degree (Bachelors or Masters) in Computer Science or related field
Experience in C++, Java, PHP, or , or any other prominently used programming languages
High levels of creativity and quick problem solving capabilities
Preferred: Demonstrated software engineering experience previous , work experience, coding competitions, or publications",,"Identify issues and implement solutions to complex problems in large scale backend infrastructure and platforms
Analyze & solve difficult problems across the stack
Work closely with operations and infrastructure to build high scale backend services
Build exciting products that will engage billions of users worldwide"
"Instagram - Manager, Software Engineering","Menlo Park, CA","8+ years of software engineering experience, including 5+ years of hands-on technical management
Prior experience in one of the following C++, Java, and/or Python
Demonstrated domain experience in spam detection, pattern recognition, authentication systems and data analytics
Demonstrated ability to recruit and manage technical teams, including performance management
BA/BS in Computer Science (In lieu of degree, 4+ years relevant work)",,"Provide technical and organizational leadership over the community engineering team
Communicate cross-functionally and drive engineering efforts
Hold your own in technical discussion, be a subject matter expert, and have strategic influence."
Software Engineer - Audio Specialist,"Seattle, WA","BS/MS in Computer science or Electrical engineering.
Experience with Audio stack like codecs, audio capture/render, jitter buffer and signal processing.
C/C++ multi threaded programming experience.",Data analysis background.,"Identify areas of improvement for Audio quality on mobile devices.
Design and conduct in field experiments with audio quality changes.
Design and code reviews.
Guide team to success."
"Software Engineer, Machine Learning (PhD University Grad) (London 2019)","London, United Kingdom","Currently has or is in the process of obtaining a PhD degree or completing a postdoctoral assignment in the field of Machine Learning or similar
Must be available to start employment on or before December 3, 2019
Interpersonal skills: cross-group and cross-culture collaboration
Able to obtain work authorization in the UK beginning in 2019
Research and/or work experience in machine learning, NLP, recommendation systems, pattern recognition, signal processing, data mining, artificial intelligence, information retrieval or computer vision.
Experience in systems software or algorithms
Knowledge in Java or C++, Perl, PHP or Python
Problem solving capabilities
Proven track record of achieving results as demonstrated by grants, fellowships, patents, as well as first-authored publications at workshops or conferences such as ICML, NIPS, KDD or similar
Demonstrated software engineer experience via an internship, work experience, coding competitions, or used contributions in open source repositories (e.g. GitHub)",,"Develop highly scalable classifiers and tools leveraging machine learning, regression, and rules-based models
Suggest, collect and synthesize requirements and create effective feature roadmap
Code deliverables in tandem with the engineering team
Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
Perform specific responsibilities which vary by team"
Product Management Leader (Virtual Reality Software Development Kit),"Menlo Park, CA",,,"7+ years of experience in Product Management
7+ years of experience working collaboratively with engineering, design and user research teams
5+ years of management experience with direct reports under your guidance and leadership
BA/BS in Computer Science or related field"
"Instagram - Software Engineer, Android (Camera)","San Francisco, CA","B.S. or M.S. Computer Science or 3+ years in software development experience
2+ years experience building user-facing features and Android applications
Experience in understanding large code bases, including API design techniques","Familiarity with Android camera APIs and media processing
Familiarity with memory management specific to mobile devices","Build client-side creative tools, effects and mobile infrastructure for camera products in Java
Debug camera issues across Java and C++
Improve camera performance and efficiency"
Software Engineer - Crawl Infrastructure Engineer,"Seattle, WA","Bachelor’s degree in Computer Science or related field.
5+ years of industry experience shipping production software as a software engineer.
Developed infrastructure for managing thousands of machines (min 1000) at scale.
Understanding of systems architecture and performance trade-offs.
Demonstrated practical experience of scaling up high throughput systems, and sophisticated services architecture.
Experience in any of C/C++, Golang, Java, C# programming languages.",Master’s degree or PhD,"Build world-class web crawling infrastructure
Own logging, analysis, infrastructure to support processing petabytes of data
Build tools to automate processing of large scale data pipelines
Mentor engineers on infrastructure and performance best practices"
